2030,,,,,,,2040,,,,,
,México,Tipo (D: dato duro) /T: Tendecia),Fuente,Mundo,Tipo (D: dato duro) /T: Tendecia),Fuente,México ,Tipo (D: dato) /T: Tendecia),Fuente,Mundo,Tipo (D: dato) /T: Tendecia),Fuente 
11,La esperanza de vida al nacer será de 80 años.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Promedio de edad en América del Norte: 39.5,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa de mortalidad infantil mujeres : 5.77,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Esperanza de vida en costa rica: 82,8 ",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
12,La tasa de mortalidad infantil bajará a menos de 8 defunciones de niños menores de 5 años por cada mil nacidos vivos.,T,https://archivo.cepal.org/pdfs/GuiaProspectiva/VisionMexico2030.pdf,Promedio de edad en América Latina y el Caribe: 34.1,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa global de fecundidad : 1.78,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Esperanza de vida en Perú: 82,6",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
13,El país pasará de contar con 384 ciudades a 961 en 2030,T,https://onuhabitat.org.mx/index.php/tendencias-del-desarrollo-urbano-en-mexico,Promedio de edad en la Unión Europea: 44.7,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Poblacion de 0-19 años será de 35 millones,D,https://repositorio.cepal.org/bitstream/handle/11362/37541/Futuro_Envejecimiento_Mexico_es.pdf?sequence=1&isAllowed=y,"Esperanza de vida en Panamá: 82,2",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
14,83.2% de la población nacional se concentrará en las ciudades,T,https://onuhabitat.org.mx/index.php/tendencias-del-desarrollo-urbano-en-mexico,Promedio de edad en África: 21.3,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Poblacion de 20-39 años será de 39 millones,D,https://repositorio.cepal.org/bitstream/handle/11362/37541/Futuro_Envejecimiento_Mexico_es.pdf?sequence=1&isAllowed=y,Esperanza de vida en Chile: 82,D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
15,En 2030 la población pobre será la que predominará en las ciudades,T,https://onuhabitat.org.mx/index.php/tendencias-del-desarrollo-urbano-en-mexico,Los países del Cono Sur son los más viejos (36 años en 2030 como promedio versus 32 años en 2016) y los países de América Central son los más jóvenes (32 años en 2030 y 27 años en 2016).,T,https://publications.iadb.org/publications/spanish/document/Am%C3%A9rica-Latina-y-el-Caribe-2030-Escenarios-futuros.pdf,"Tasa de crecimiento social: -0.13
",D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,,,
16,La tasa de fecundidad bajará a 2 hijos por mujer,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,Promedio de edad en Asia: 35.4,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,La poblacion de 40 a 59 años será de 36 millones,D,https://repositorio.cepal.org/bitstream/handle/11362/37541/Futuro_Envejecimiento_Mexico_es.pdf?sequence=1&isAllowed=y,Esperanza de vida en Colombia: 81,D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
17,Inmigrantes en Ciudad de México llegarán a los 75 mil,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,Promedio de edad en Oceanía: 34.9,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,La población de 60 años o más será de 31 millones,,https://repositorio.cepal.org/bitstream/handle/11362/37541/Futuro_Envejecimiento_Mexico_es.pdf?sequence=1&isAllowed=y,Esperanza de vida en Cuba: 81,D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
18,Emigrantes de Ciudad de México pasarán los 100 mil,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,"Los sistemas de protección social en los países avanzados, especialmente en Europa, sufrirán presión, sobre todo en el sector sanitario. ",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,En México habrá 30 millones de personas más para el 2040,D,https://www.americaeconomia.com/mexico-necesita-aumentar-su-inversion-en-infraestructura-en-us544000m-para-el-periodo-2016-2040,"Esperanza de vida en Ecuador: 80,6",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
19,En 2030 México rebasará a Rusia con 137 millones de habitantes.,D,https://aristeguinoticias.com/1005/mexico/en-2030-mexico-sera-el-9o-pais-con-mas-habitantes-del-planeta-unam/,Se prevé que el mundo tendrá 41 megalópolis con 10 millones de habitantes o más.,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,se prevé que la población urbana equivalga a 88% del total,D,https://www.americaeconomia.com/mexico-necesita-aumentar-su-inversion-en-infraestructura-en-us544000m-para-el-periodo-2016-2040,"Esperanza de vida en Nicaragua: 80,4",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
20,Inmigrantes en Estado de México llegarán a 150 mil,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,El crecimiento de las megalópolis se trasladará hacia África y Asia,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,México requerirá cerca de 2.8 millones de enfermeros según el Banco Interamericano de desarrollo,D,https://amqueretaro.com/mexico/2019/01/30/mexico-necesitara-4-6-millones-de-profesionales-en-salud-y-educacion-en-2040/,"Esperanza de vida en Puerto Rico: 80,3",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
21,Emigrantes en Estado de México bajará a 125 mil,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,Se espera que el crecimiento de la clase media mundial vaya acompañado de un aumento significativo de los niveles de educación,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,México requerirá 731 mil médicos según el Banco Interamericano de desarrollo,D,https://amqueretaro.com/mexico/2019/01/30/mexico-necesitara-4-6-millones-de-profesionales-en-salud-y-educacion-en-2040/,"Esperanza de vida en Rep. Dominicana: 79,9",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#0
22,La población de 0-14 años en la Ciudad de México será de poco menos de 4 millones,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,Se prevé que el 90 % de la población mundial sabrá leer,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,México requerirá 1 millón de enfermeros según el Banco Interamericano de desarrollo,D,https://amqueretaro.com/mexico/2019/01/30/mexico-necesitara-4-6-millones-de-profesionales-en-salud-y-educacion-en-2040/,"Esperanza de vida en Japón: 85,7",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#1
23,La poblacion de 15-29 años en la Ciudad de México será de 4 millones,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,El 50 % de la población mundial tendrá acceso a internet.,D,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,En 2040 los casos de cáncer en México aumentarían hasta 88.6 por ciento,D,https://abcnoticias.com.mx/en-2040-aumentaria-en-88-6-casos-de-cancer-en-mexico/,"Esperanza de vida en Singapur : 85,4",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#2
24,La poblacion de 30-44 años en la Ciudad de México será de 4 millones,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,La calidad y la disponibilidad de la educación seguirán siendo una línea divisoria fundamental entre los países avanzados y emergentes,T,https://www.aecoc.es/articulos/irr-las-20-megatendencias-que-cambiaran-el-mundo-en-2030/,Se estima que casi 110 millones de personas tendrán diabetes para 2040.,D,https://www.paho.org/hq/index.php?option=com_content&view=article&id=11889:diabetes-in-the-americas&Itemid=1926&lang=es,"Esperanza de vida en Suiza: 85,2",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#3
25,La poblacion de 45-64 años en la Ciudad de México será de 5 millones,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,"Los nuevos mecanismos de movilidad podrían sustituir al tradicional modelo de inmigración de asentamiento por movilidad profesional, migración circular y migración de corta duración. ",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Muertes prematuras por contaminación en México aumentarán para el 2040,D,https://www.publimetro.com.mx/mx/noticias/2016/06/27/muertes-prematuras-contaminacion-mexico-aumentaran-2040.html,"Esperanza de vida en Portugal: 84,5",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#4
26,La poblacion de 65 años o más en la Ciudad de México será de 3 millones,D,https://centrogeo.repositorioinstitucional.mx/jspui/bitstream/1012/223/1/3%20-%20Tendencias%20y%20Prspectiva%20Demogr%C3%A1fica%20-%201990-2030%20-%20Carlos%20Anzaldo%20G%C3%B3mez.pdf,"Los países de tránsito se convertirían en países de acogida temporales y los países de asentamiento, puntos de emigración",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,"En 2035, a pesar del discurso gubernamental que reiteradamente ha prometido que internet estará disponible para todos los mexicanos, solamente llegará, de manera efectiva, a 80% de la población",D,http://ru.iis.sociales.unam.mx/jspui/bitstream/IIS/5471/2/futuro_mexico_2035_final.pdf,"Esperanza de vida en Italia : 84,5",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#5
27,Población región norte tendrá aproximadamenteimadamente 40 millones de habitantes.,D,http://www2.inecc.gob.mx/publicaciones2/libros/448/14.pdf,"Es probable que la migración circular, la movilidad empresarial, la reunificación familiar y los viajes de ida y vuelta involucren a más personas",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,"El 60% de la población dispondrá de banda ancha ultrarrápida, con velocidades de descarga superiores a 200 Mbps",D,http://ru.iis.sociales.unam.mx/jspui/bitstream/IIS/5471/2/futuro_mexico_2035_final.pdf,"Esperanza de vida en Israel: 84,4",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#6
28,"Se contará con mecanismos de comercialización de alimentos a nivel local que satisfagan las necesidades
alimentarias de la población, en todas las localidades del país",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,Es probable que la migración circular reorienten los recursos y creen comunidades transfronterizas entre países y culturas que a veces pueden estar muy alejadas entre sí,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,"30% tiene acceso a internet en velocidades menores, de tal forma que nueve de cada diez mexicanos cuentan con equipos de cómputo y conexiones constantes a la red",D,http://ru.iis.sociales.unam.mx/jspui/bitstream/IIS/5471/2/futuro_mexico_2035_final.pdf,"Esperanza de vida en Francia: 84,3",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#7
29,La población región centro tendrá aproximadamenteimadamente 80 millones de habitantes,D,http://www2.inecc.gob.mx/publicaciones2/libros/448/14.pdf,"Los estrechos vínculos culturales y lingüísticos entre África y Europa se mantendrán, gracias a la importante comunidad africana en Europa",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,México requerirá de 2.8 millones de maestros,D,https://amqueretaro.com/mexico/2019/01/30/mexico-necesitara-4-6-millones-de-profesionales-en-salud-y-educacion-en-2040/,"Esperanza de vida en Luxemburgo: 84,1",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#8
30,Población región sur aproximadamenteimadamente 20 millones de habitantes,D,http://www2.inecc.gob.mx/publicaciones2/libros/448/14.pdf,"El inglés, el francés y el portugués seguirán siendo lengua franca en muchos países africanos.",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa de crecimiento natural*: 0.49,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Esperanza de vida en Australia: 84,1",D,https://cnnespanol.cnn.com/2018/10/18/que-pais-latinoamericano-tendra-la-mayor-esperanza-de-vida-en-2040/#9
31,"Se reducirá en un tercio la mortalidad prematura por enfermedades no transmisibles mediante su prevención y tratamiento, y promover la salud mental y el bienestar",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,El bajo nivel de educación general seguirá siendo un importante obstáculo en África ,T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Edad mediana : 35.16,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,Se prevé que las inscripciones superen los 660 millones para 2040. Esto representaría el 10% de la población mundial de 15 a 79 años para 2040,D,https://www.universityworldnews.com/post.php?story=20150908145912643
32,"Todas las personas, en particular aquellas en estado de pobreza y vulnerabilidad, ejercerán plenamente sus Derechos Económicos, Sociales, Culturales y Ambientales (DESCA)",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,"la falta de empleo seguirá fomentando la emigración, especialmente a Asia y Europa.",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Índice de Envejecimiento : 68.73,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"Para 2040, la mayoría de los países tendrán una tasa de participación que superará el 60%, lo que significa que la demanda de educación superior interna no satisfecha anteriormente se satisfará para países como China, India, Brasil e Indonesia.",T,https://www.universityworldnews.com/post.php?story=20150908145912643
33,"Se pondrán en práctica a nivel federal y estatal sistemas y medidas de protección social donde se integrarán criterios de inclusión, priorizando a quienes se encuentran en condición de pobreza y vulnerabilidad",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,"La nueva clase media que habrá surgido totalmente para 2030 será más pobre, más vulnerable y menos formada que las clases medias actuales de Europa y los Estados Unidos",T,https://espas.secure.europarl.europa.eu/orbis/sites/default/files/generated/document/en/espas-report-2015es.pdf,Tasa de crecimiento total en México para el 2040: 0.35,D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,"El 25% de los estudiantes de educación terciaria con movilidad internacional en todo el mundo procedían de Asia oriental y el Pacífico; la proporción aumentó al 33% en 2012. Avanzar rápidamente hasta 2040, y la proporción de estudiantes de esta región con movilidad internacional podría situarse entre el 43% y el 47% de la movilidad total de salida",T,https://www.universityworldnews.com/post.php?story=20150908145912643
34,"Se garantizará la seguridad alimentaria para todas y todos, especialmente para las personas en situación de pobreza y vulnerabilidad.",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,El 6% de la población mundial vivirá en pobreza ,D,https://sustainabledevelopment.un.org/sdg1,100% de los automóviles tenga seguro,T,https://www.eleconomista.com.mx/sectorfinanciero/El-rumbo-de-la-industria-aseguradora-al-2040-20200229-0024.html,"la humanidad habrá establecido una colonia marciana para 2040, con los primeros visitantes al Planeta Rojo que llegan sin intención de volver",T,https://www.factor-tech.com/connected-world/23953-life-in-a-generation-10-predictions-for-2040/
35,Se logrará el desarrollo del campo por medio de la producción sostenible de alimentos.,T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,Aumento de la esperanza de vida,T,https://pemb.cat/public/docs/29_77_1.pdf,Las revueltas sociales será un riesgo principal que estará enfrentando la sociedad,T,https://www.eleconomista.com.mx/sectorfinanciero/El-rumbo-de-la-industria-aseguradora-al-2040-20200229-0024.html,"En el Reino Unido, los aumentos periódicos por encima de la inflación de los alquileres harán que casi 6 millones de personas vivan en la pobreza para 2040",D,https://www.factor-tech.com/connected-world/23953-life-in-a-generation-10-predictions-for-2040/
36,"Se disminuirá por lo menos en 30% el consumo y abuso de alcohol y sustancias psicoactivas nocivas para la salud, especialmente en población infantil y juvenil.",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,Envejecimiento de Asia Oriental,T,https://pemb.cat/public/docs/29_77_1.pdf,Se estima que para 2040 haya el doble de coches en las calles,T,https://www.forbes.com.mx/mexico-es-el-cuarto-pais-con-mas-trafico-en-el-mundo-waze/,"Al menos 2,2 millones de migrantes de naciones pobres llegarán al mundo rico cada año desde ahora hasta 2040",D,The-World-In-2030.pdf
37,"Se asegurará que todas las niñas, niños, adolescentes y jóvenes tengan acceso a una educación para la salud.",T,https://www.gob.mx/cms/uploads/attachment/file/412433/Estrategia_Nacional_Implementacion_Agenda_2030.pdf,"El avance de la urbanización proseguirá, especialmente en India y África, hasta alcanzar el 60% de la población mundial",D,https://pemb.cat/public/docs/29_77_1.pdf,El bono demográfico disminuirá paulatinamente hasta evaporarse alrededor del año 2040.,T,https://es.weforum.org/agenda/2018/07/mexico-arriesga-su-bono-demografico/,un total de 55 millones de nuevos inmigrantes se habrán asentado en naciones desarrolladas durante los próximos veinte años,D,The-World-In-2030.pdf
38,"Crecimiento total de la población: 859,637",D,http://www.conapo.gob.mx/work/models/CONAPO/Mapa_Ind_Dem18/index_2.html,Descontento social global alimentado por el incremento de la desigualdad,T,https://pemb.cat/public/docs/29_77_1.pdf,"de México encontraron que para 2040 las principales causas de defunción serán la diabetes, insuficiencia renal crónica, cardiopatía isquémica, cirrosis por hepatitis C, violencia interpersonal, Alzheimer, accidente cerebrovascular, cirrosis por consumo de alcohol, lesiones viales y malformaciones congénitas.",T,https://www.jornada.com.mx/2018/10/17/sociedad/039n1soc,La población de Bulgaria se reducirá en un 35% para 2040,D,The-World-In-2030.pdf
